GivenName,Surname,City,Company,Country,Department,EmployeeNumber,HomePhone,MobilePhone,POBox,StreetAddress,Title,SamAccountName,AccountPassword,EmailAddress,PasswordNeverExpires,PasswordNotRequired,Enabled,AllowReversiblePasswordEncryptio,AccountNotDelegated,AccountExpirationDate,TrustedForDelegation,OfficePhone,CompoundIdentitySupported,ChangePasswordAtLogon,CannotChangePassword,thumbnailPhoto,Name,OU,Group
Tristan,van Veen,Amsterdam Noord west,Topicware,NL,Services,44-558-3977,509938419,31403583130,3229 PS,Markt 389a,,Tristan51,gr7dw.]a2,tristan.van_veen@floris.nl,TRUE,FALSE,,,,7/14/2020,,,TRUE,FALSE,TRUE,https://api.adorable.io/avatars/500/Tristan van Veen.png,Tristan van Veen,"OU=VIP,DC=floris,DC=local",
Peter,Miggelenbrink,Amsterdam Noord west,Eazzy,NL,Support,34-719-5794,328029283,31487020167,3772 NE,Simon Lindhoutstraat 2,,Peter43,"bV,_K0mo(",peter.miggelenbrink@floris.nl,,TRUE,,,,6/14/2020,,,,TRUE,FALSE,https://api.adorable.io/avatars/500/Peter Miggelenbrink.png,Peter Miggelenbrink,,Finance-DS
Liese,Karsten,Amsterdam-Oost,Wikido,NL,Legal,54-479-1592,,31769289810,3920 VY,Borchmolendijk 2,,Liese21,yF&Aw(2`-,liese.karsten@floris.nl,,,,,,7/14/2020,,31173463669,,,,https://api.adorable.io/avatars/500/Liese Karsten.png,Liese Karsten,,
Florien,Haaisma,Almere Haven,Buzzshare,NL,Accounting,88-857-1854,,31627717589,3971 WL,Larenseweg 5,Esq,Florien18,)t'/T02t&,florien.haaisma@floris.nl,,,TRUE,FALSE,TRUE,,TRUE,31299575174,,,,,Florien Haaisma,,
Teije,Houben,Zaandam,Bluezoom,NL,Support,65-820-4975,,31541547705,3314 BT,Longway 5,Rev,Teije33,"`c,vj/:X""",teije.houben@floris.nl,,,,,,7/14/2020,,31553926908,,,,,Teije Houben,"OU=VIP,DC=floris,DC=local",Secretary-GD
Duco,Bolsius,Hoorn,Voomm,NL,Legal,61-507-4270,591373581,31609597095,,,Jr,Duco44,r\84l+PJ.,duco.bolsius@floris.nl,,,FALSE,FALSE,FALSE,,TRUE,31182093588,,,,,Duco Bolsius,,
Ferre,Beeksma,Alkmaar,Babbleset,NL,Training,71-949-6336,,31836742499,,,Hon,Ferre58,NM!ML7Jx%,ferre.beeksma@floris.nl,FALSE,,,,,6/22/2021,,31167547712,TRUE,,,,Ferre Beeksma,,Legal-US
Michel,van Genderen,Alkmaar,Realcube,NL,Legal,43-140-8451,,31779214895,,,,Michel19,")]0Wz7SP,",michel.van_genderen@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Michel van Genderen.png,Michel van Genderen,,
Fiene,Gysbrechts,Heemskerk,Brainverse,NL,Sales,54-790-6221,,31843767372,,,Jr,Fiene36,BG/&J3JD5,fiene.gysbrechts@floris.nl,,,,,,5/20/2021,,31136244129,,,,https://api.adorable.io/avatars/500/Fiene Gysbrechts.png,Fiene Gysbrechts,,HR-GS
Ernst,Evers-van Sante,IJmuiden,Dazzlesphere,NL,Product Management,89-824-0681,400718509,31619207118,,,Sr,Ernst31,dO)o_$U_.,ernst.evers-van_sante@floris.nl,,,,,,5/18/2022,,31450721375,,,,https://api.adorable.io/avatars/500/Ernst Evers-van Sante.png,Ernst Evers-van Sante,,
Jasper,N.N,Haarlem,Zazio,NL,Business Development,04-648-6539,,31568918782,,,Msgr,Jasper21,lT33H5^k#,jasper.n.n@floris.nl,FALSE,TRUE,,,,,,31406727036,FALSE,FALSE,FALSE,https://api.adorable.io/avatars/500/Jasper N.N.png,Jasper N.N,,Legal-US
Lia,de Groof,Haarlem,Linklinks,NL,Engineering,08-247-3763,,31406750790,,,St,Lia11,/E#F\0D[!,lia.de_groof@floris.nl,FALSE,TRUE,,,,8/31/2020,,31416747876,TRUE,TRUE,TRUE,https://api.adorable.io/avatars/500/Lia de Groof.png,Lia de Groof,"OU=Isolated,DC=floris,DC=local",
Mina,Hertel,Haarlem,LiveZ,NL,Sales,44-384-4063,,31978875705,5253 QT,Slachthuislaan 2,,Mina40,=W4oX'(i*,mina.hertel@floris.nl,,,,,,7/14/2020,,,,,,https://api.adorable.io/avatars/500/Mina Hertel.png,Mina Hertel,,
Floor,Poll,Haarlem,Quaxo,NL,Sales,85-774-4426,183334539,31322928173,1628 WI,Wilhelminalaan 135b,,Floor30,jA2JJ/Ka-,floor.poll@floris.nl,,,,,,3/16/2022,,,,,,https://api.adorable.io/avatars/500/Floor Poll.png,Floor Poll,,Finance-DS
Anton,"Kuijpers, Kuypers",Leidschendam,Ntag,NL,Training,18-555-8964,,31479701938,5638 NS,Wetering 51,,Anton57,:i7Ym5)R0,"anton.kuijpers,_kuypers@floris.nl",,,TRUE,FALSE,FALSE,,TRUE,,,,,"https://api.adorable.io/avatars/500/Anton Kuijpers, Kuypers.png","Anton Kuijpers, Kuypers",,
Ida,Rijswijk,Leidschendam,Eabox,NL,Human Resources,48-008-9523,,31509203760,4316 CO,Parallelweg 300,,Ida24,3X5gi3:f6,ida.rijswijk@floris.nl,,TRUE,TRUE,FALSE,TRUE,9/26/2020,TRUE,,,TRUE,TRUE,https://api.adorable.io/avatars/500/Ida Rijswijk.png,Ida Rijswijk,,
Willemina,van Bergen,Voorburg,Zava,NL,Product Management,65-557-9686,,31114043876,1607 RI,Europaweg 2-01,,Willemina51,Xk#hw#aI',willemina.van_bergen@floris.nl,,TRUE,,,,,,31132262557,,TRUE,FALSE,https://api.adorable.io/avatars/500/Willemina van Bergen.png,Willemina van Bergen,"OU=VIP,DC=floris,DC=local",HR-GS
Renier,van Steen,Voorburg,Meevee,NL,Accounting,06-037-6748,,31454879504,5287 LG,Wilhelminaweg 29,,Renier58,"aw$""L-_G-",renier.van_steen@floris.nl,,,,,,,,31520501318,,,,https://api.adorable.io/avatars/500/Renier van Steen.png,Renier van Steen,,
Jette,Lauwers,Rijswijk,Skalith,NL,Business Development,27-306-3822,,31664810453,2276 MA,Westeinde 10,,Jette41,lu&)b*`V9,jette.lauwers@floris.nl,,,,,,8/15/2021,,31389337539,,,,https://api.adorable.io/avatars/500/Jette Lauwers.png,Jette Lauwers,,
Eildert,Pelt,Leiden,Ntag,NL,Accounting,81-410-8093,279250186,31707018832,5409 UV,Rondweg 1168,Msgr,Eildert24,"?T$zA7xV,",eildert.pelt@floris.nl,FALSE,,,,,7/13/2020,,31180171394,FALSE,,,,Eildert Pelt,,HR-GS
Karel,Hagen,Alphen aan den Rijn,Avavee,NL,Support,88-839-8396,344556112,31603733476,1943 ZW,Lookant 8,Mrs,Karel31,\m)$G+=T3,karel.hagen@floris.nl,,FALSE,,,,8/21/2021,,31223728475,,TRUE,FALSE,,Karel Hagen,,
Carola,Nieuwland,Alphen aan den Rijn,Ntags,NL,Training,22-471-8917,153399599,31606507249,3368 FD,Krimweg 27,,Carola14,tS1%C!<u4,carola.nieuwland@floris.nl,,TRUE,TRUE,TRUE,FALSE,,FALSE,31413059754,,TRUE,FALSE,,Carola Nieuwland,,Secretary-GD
Pieterdina,Verbeek,Den Haag,Demimbu,NL,Product Management,24-305-7437,201316969,31688193419,3397 UI,Wegastraat 18a,Prof,Pieterdina33,BN&\Q3]L.,pieterdina.verbeek@floris.nl,,FALSE,,,,10/21/2020,,,,FALSE,FALSE,,Pieterdina Verbeek,,
Elle,Krijnen,Den Haag,Gabcube,NL,Support,74-050-3637,185660812,31674795638,3620 QH,Zaanstraat 1,Jr,Elle14,"VY!)i23v""",elle.krijnen@floris.nl,FALSE,TRUE,,,,11/15/2020,,,TRUE,FALSE,FALSE,https://api.adorable.io/avatars/500/Elle Krijnen.png,Elle Krijnen,,Finance-DS
Vincent,Weevers,Delft,Snaptags,NL,Support,83-905-2317,,31221398868,2940 AZ,Vermiljoenweg 1,,Vincent21,"+n""al4x[2",vincent.weevers@floris.nl,,TRUE,,,,,,,,FALSE,TRUE,https://api.adorable.io/avatars/500/Vincent Weevers.png,Vincent Weevers,"OU=VIP,DC=floris,DC=local",
Ella,Meuwis,Delft,Yakidoo,NL,Support,35-639-4966,,31691731798,,,,Ella46,4V6sr6co!,ella.meuwis@floris.nl,,FALSE,FALSE,TRUE,FALSE,10/25/2020,TRUE,,,TRUE,FALSE,https://api.adorable.io/avatars/500/Ella Meuwis.png,Ella Meuwis,,
Joanne,Jurgens,Delft,Quaxo,NL,Engineering,73-870-6623,,31335710559,,,,Joanne44,"^\"":S*^w)",joanne.jurgens@floris.nl,,,,,,7/14/2020,,31378468367,,,,https://api.adorable.io/avatars/500/Joanne Jurgens.png,Joanne Jurgens,,Legal-US
Boudewijn,Beiffits,Ridderkerk,Bubbletube,NL,Human Resources,57-569-9092,,31440440348,,,,Boudewijn16,",x.<A!KJ,",boudewijn.beiffits@floris.nl,TRUE,,,,,,,31246392198,TRUE,,,https://api.adorable.io/avatars/500/Boudewijn Beiffits.png,Boudewijn Beiffits,"OU=Isolated,DC=floris,DC=local",
